Country,Happiness.Score,Generosity
Nepal,4.96199989318848,0.394096165895462
Mongolia,4.95499992370605,0.338464230298996
South Africa,4.8289999961853,0.139362379908562
Tunisia,4.80499982833862,0.0496933571994305
Palestinian Territories,4.77500009536743,0.114173173904419
Egypt,4.7350001335144,0.128631442785263
Bulgaria,4.71400022506714,0.113177694380283
Sierra Leone,4.70900011062622,0.293040901422501
Cameroon,4.69500017166138,0.236298456788063
Iran,4.69199991226196,0.387242913246155
Albania,4.64400005340576,0.201312944293022
Bangladesh,4.60799980163574,0.172255352139473
Namibia,4.57399988174438,0.0771337449550629
Kenya,4.55299997329712,0.444860309362411
Mozambique,4.55000019073486,0.322228103876114
Myanmar,4.54500007629395,0.838075160980225
Senegal,4.53499984741211,0.183468893170357
Zambia,4.51399993896484,0.249580144882202
Iraq,4.49700021743774,0.19963726401329
Gabon,4.46500015258789,0.0437853783369064
Ethiopia,4.46000003814697,0.312650740146637
Sri Lanka,4.44000005722046,0.490863561630249
Armenia,4.37599992752075,0.0834880918264389
India,4.31500005722046,0.231538489460945
Mauritania,4.29199981689453,0.201870024204254
Congo (Brazzaville),4.29099988937378,0.120852127671242
Georgia,4.28599977493286,0.0540088154375553
Congo (Kinshasa),4.28000020980835,0.246455833315849
Mali,4.19000005722046,0.183354198932648
Ivory Coast,4.17999982833862,0.201237469911575
Cambodia,4.16800022125244,0.385922968387604
Sudan,4.13899993896484,0.182317450642586
Ghana,4.11999988555908,0.256923943758011
Ukraine,4.09600019454956,0.270061463117599
Uganda,4.08099985122681,0.325766056776047
Burkina Faso,4.03200006484985,0.250864684581757
Niger,4.02799987792969,0.228673845529556
Malawi,3.97000002861023,0.287170469760895
Chad,3.93600010871887,0.216113850474358
Zimbabwe,3.875,0.189143493771553
Lesotho,3.80800008773804,0.157497271895409
Angola,3.79500007629395,0.097926490008831
Afghanistan,3.79399991035461,0.311870932579041
Botswana,3.76600003242493,0.0993484482169151
Benin,3.65700006484985,0.207948461174965
Madagascar,3.64400005340576,0.208732530474663
Haiti,3.6029999256134,0.489203780889511
Yemen,3.59299993515015,0.104125209152699
